Opportunity_ID;Customer Name;Customer_Segment;Sector;Country;Customer_Status;Annual_Speed;Length_Of_Sales_Cycle;Product_Name;Highest_Contract_Level;Compelling_Event;RFP;Sales_Engineer_Engaged;Services_Included;Customer_Meeting;License;Contacts
CIL97330 CRL;Cilox HiTech CRL;SMB;Consumer Product;Germany;current customer;Large;2 Years;Security;Individual Contributor Level;Yes;No;No;No;4;142;135
THO40255 CRL;Thornbury Enterprises CRL;Fortune500;Goods;Japan;current customer;Small;1 Year;Identity Server;C-Level;No;No;No;Yes;42;595;120
INN74310 CRL;Innovative Systems Inc. CRL;SMB;Apparel;France;current customer;Large;6 Months;Database;C-Level;No;No;Yes;Yes;19;289;128
TOW11215 CRL;Townsend Company CRL;Enterprise;Construction;North America;current customer;Large;2 Years;CRM;C-Level;Yes;Yes;Yes;Yes;20;133;63
LOU14312 CRL;Lou Windham CRL;Enterprise;Consumer Product;China;prior customer;Large;2 Years;Analytics;Manager Level;Yes;Yes;Yes;No;24;161;143
JIM18456 CRL;JIM FARAIZL CRL;Enterprise;Consumer Product;France;prospect;Large;18 Months;Web Server;Individual Contributor Level;No;No;Yes;No;11;86;10
SAN82128 CRL;Sandra 00Turner CRL;Enterprise;Manufacturing;China;prospect;Small;1 Year;Portal;C-Level;No;Yes;No;No;22;64;138
CHE49284S SL;Chelsa Quinn Yates SL;SMB;Manufacturing;North America;prospect;Small;18 Months;ERP;Individual Contributor Level;No;No;Yes;Yes;6;144;120
DOU23478R SL;Douglas Barker SL;Enterprise;Goods;Germany;prospect;Medium;18 Months;Portal;C-Level;No;No;No;Yes;12;223;74
PHU12751G SL;Phundix KG SL;SMB;Manufacturing;India;prior customer;Big;1 Month;ERP;Manager Level;No;No;No;No;7;151;114
NSM92027G SL;NSM Pumpentechnik AG SL;SMB;High tech;North America;prospect;Huge;1 Month;Identity Server;Individual Contributor Level;Yes;No;Yes;Yes;29;107;88
DEU59382G SL;Deutsche Computer AG SL;Fortune500;Manufacturing;Russia;prospect;Huge;1 Year;Web Server;Individual Contributor Level;No;No;Yes;No;25;79;112
SOF89868H SL;Software Systeme GmbH SL;SMB;Retail;Germany;prior customer;Large;18 Months;Identity Server;Manager Level;Yes;No;Yes;Yes;29;28;138
NAP30198T SL;Napoli Export SL;Fortune500;Manufacturing;Brazil;prospect;Medium;1 Month;Database;Individual Contributor Level;No;No;No;Yes;12;17;73
PRI32819R SL;Princeton Health Center SL;Enterprise;Consumer Product;Russia;current customer;Small;1 Year;ERP;Individual Contributor Level;Yes;No;Yes;No;2;50;140
PAR44669A SL;Park Lane Hotel And Spa SL;SMB;Manufacturing;Italy;prospect;Big;2 Years;Security;C-Level;No;No;No;Yes;23;131;75
CAN67522Y SL;Candid International Technology SL;Enterprise;Manufacturing;Brazil;prior customer;Huge;6 Months;Application Server;Manager Level;Yes;Yes;Yes;Yes;6;65;80
HAL22352H SL;Hallmann Anlagenbau GmbH SL;SMB;Consumer Product;North America;prospect;Big;18 Months;ERP;Individual Contributor Level;Yes;No;Yes;No;9;37;154
SCH78261R SL;Schnelle Feuerwehr SL;SMB;Goods;France;prior customer;Medium;1 Month;Web Server;Individual Contributor Level;Yes;Yes;No;No;31;91;147
KRO51091S SL;Krogertsens SL;Enterprise;Finserv;UK;prospect;Big;6 Months;Analytics;C-Level;Yes;No;No;No;11;293;61
01M99095E SL;01Megastore SL;Fortune500;Manufacturing;Japan;prospect;Huge;6 Months;Portal;Manager Level;No;Yes;No;Yes;20;43;22
REM16431G SL;REMA WH Regensburg SL;Fortune500;Manufacturing;Japan;prospect;Huge;1 Month;Web Server;C-Level;Yes;No;No;No;12;107;148
BRI67376C SL;Brighton Inc SL;SMB;Construction;India;prospect;Medium;18 Months;Identity Server;Manager Level;Yes;No;Yes;No;26;110;106
DAT14753. SL;Data Corp. SL;Fortune500;Retail;France;current customer;Small;1 Year;Analytics;C-Level;Yes;No;No;No;42;299;96
GRE38623E SL;Greentree Enterprise SL;Enterprise;Manufacturing;Japan;prospect;Huge;1 Month;Web Server;C-Level;No;No;No;No;23;112;118
JAN10046O SL;JANE CASTILLO SL;Fortune500;Apparel;UK;current customer;Medium;1 Year;CRM;C-Level;Yes;No;Yes;Yes;35;348;60
JOH34844S SL;JOHN GRÍNROS SL;Enterprise;Healthcare;China;prior customer;Big;6 Months;Database;C-Level;Yes;No;No;No;6;51;71
NEL64617S AB;Nelson Tax & Associates AB;Enterprise;Apparel;Italy;current customer;Small;2 Years;Analytics;C-Level;No;No;Yes;No;17;91;99
AGN82482A AB;Agnes Varda AB;SMB;Consumer Product;North America;prospect;Large;2 Years;Database;C-Level;No;No;No;Yes;7;127;110
AUT35701H AB;Autohaus Franzl GmbH AB;Fortune500;High tech;Russia;prior customer;Huge;18 Months;CRM;C-Level;No;Yes;No;Yes;18;147;103
LCH19309T AB;LCH Markt AB;Enterprise;Retail;China;prior customer;Small;2 Years;Security;Manager Level;Yes;No;No;Yes;15;51;100
GEN51747H AB;General Distributors GmbH AB;Fortune500;High tech;Russia;current customer;Large;1 Year;Security;C-Level;No;Yes;Yes;No;32;317;147
CAR14226H AB;Carbor GmbH AB;Fortune500;Construction;Italy;current customer;Large;1 Year;Application Server;C-Level;Yes;No;Yes;No;40;588;144
S.C74899O AB;S.C.T. Electro AB;SMB;Retail;UK;prospect;Large;1 Month;Security;Individual Contributor Level;No;Yes;Yes;Yes;25;18;27
IND49628. AB;Industrial Supplies Inc. AB;Fortune500;Retail;India;current customer;Big;1 Year;Analytics;C-Level;Yes;No;Yes;Yes;48;408;155
PAL54482. AB;Palo Alto Airways Inc. AB;Fortune500;Retail;UK;current customer;Large;1 Year;Portal;C-Level;No;No;No;Yes;22;430;92
HOT79219G AB;Hotshot Racing AB;SMB;Goods;Germany;prospect;Medium;1 Month;Portal;Manager Level;Yes;Yes;Yes;Yes;6;71;61
COM54845D AB;Company World Incorporated AB;Fortune500;Construction;Russia;prior customer;Large;6 Months;Database;C-Level;No;No;Yes;Yes;25;236;118
JOH44138R AB;John Taylor AB;Fortune500;Retail;Russia;current customer;Medium;1 Year;Web Server;C-Level;No;Yes;Yes;Yes;43;353;59
IDE33499. AB;IDES US Inc. AB;Fortune500;Apparel;India;current customer;Huge;1 Year;Application Server;C-Level;No;No;No;Yes;37;278;110
MUS66718E AB;Muster Kunde AB;Fortune500;Finserv;France;prior customer;Medium;6 Months;CRM;Individual Contributor Level;No;Yes;Yes;No;10;82;89
ANT80835S AB;Antipolis AB;SMB;Goods;UK;prospect;Medium;1 Month;Database;C-Level;Yes;No;Yes;No;25;127;93
WEB62043O AB;Web Design Studio AB;SMB;Finserv;Germany;prior customer;Small;6 Months;Application Server;Manager Level;No;No;Yes;Yes;4;40;19
REM642150 AB;Rema Store 1010 AB;Fortune500;Finserv;Russia;current customer;Big;1 Year;CRM;C-Level;Yes;Yes;No;Yes;49;233;40
EC 82329S AB;EC Enterprises AB;SMB;Construction;Japan;prospect;Huge;2 Years;Database;Individual Contributor Level;No;Yes;Yes;No;4;100;20
MAR69860G AB;MARIE WITENBURG AB;Enterprise;Construction;Japan;prospect;Huge;6 Months;Analytics;Manager Level;Yes;Yes;Yes;Yes;14;207;134
BIL31359E AB;BILL FERNANCE AB;Enterprise;Manufacturing;France;prior customer;Medium;1 Year;CRM;C-Level;Yes;Yes;No;Yes;7;220;55
SCO18245R AB;Scott Parker AB;SMB;Consumer Product;Germany;prior customer;Huge;6 Months;ERP;Manager Level;Yes;Yes;Yes;Yes;5;133;127
JOE82195CORP;Joe Masson Corp;SMB;Construction;UK;prior customer;Small;18 Months;ERP;C-Level;No;No;No;No;19;112;83
RON37726CORP;Ronald Bey Corp;Fortune500;Construction;UK;current customer;Medium;1 Year;Analytics;C-Level;Yes;No;No;Yes;19;287;181
MOT40755CORP;Motomarkt Stuttgart GmbH Corp;Enterprise;Construction;Russia;prior customer;Huge;1 Month;Database;Manager Level;Yes;Yes;No;No;13;147;57
A.I20851CORP;A.I.T. GmbH Corp;Enterprise;Retail;UK;prospect;Large;6 Months;CRM;Manager Level;Yes;No;Yes;No;8;73;103
J &62321CORP;J & P Corp;Enterprise;Manufacturing;Germany;prior customer;Huge;1 Month;Portal;Manager Level;No;Yes;Yes;No;19;234;134
JAS48783CORP;Jaspers Computers Corp;SMB;Goods;Russia;prospect;Big;6 Months;Web Server;Manager Level;Yes;No;Yes;Yes;8;69;136
BER66319CORP;Bernardin SA Corp;SMB;Finserv;Italy;prospect;Medium;2 Years;CRM;Individual Contributor Level;No;Yes;Yes;No;31;108;52
MAF85056CORP;Mafor Software Service Corp. Corp;Fortune500;Retail;UK;current customer;Huge;1 Year;CRM;C-Level;Yes;No;No;No;36;569;64
ALP87681CORP;ALPHA Center Corp;SMB;Apparel;India;prospect;Small;18 Months;Security;C-Level;No;No;Yes;Yes;29;75;106
NOR10584CORP;North Energy Ltd Corp;Enterprise;Finserv;India;current customer;Huge;6 Months;Web Server;C-Level;Yes;No;Yes;Yes;12;159;145
RIW52106CORP;RIWA Regional Warehouse Denver Corp;Fortune500;High tech;Japan;current customer;Small;1 Year;CRM;C-Level;Yes;No;No;Yes;27;478;109
GLO46517CORP;Global Industries PLC Corp;Enterprise;Healthcare;Italy;prior customer;Big;1 Year;CRM;Manager Level;Yes;No;No;No;23;198;29
SOF91649CORP;Software Warehouse Corp;Fortune500;Manufacturing;North America;current customer;Big;1 Year;Database;C-Level;No;No;No;No;17;354;68
HAV28528CORP;Havers Inc Corp;Fortune500;Finserv;Russia;current customer;Large;1 Year;Database;C-Level;Yes;No;Yes;Yes;15;258;110
CLI20130CORP;Clinton Industries Corp;SMB;High tech;North America;current customer;Medium;1 Year;Portal;Individual Contributor Level;Yes;No;Yes;Yes;10;67;72
JMA46228CORP;JMart Corp;Fortune500;High tech;Italy;current customer;Small;1 Year;Application Server;C-Level;No;Yes;Yes;Yes;32;376;26
WOR20909CORP;World PC Inc. Corp;Enterprise;High tech;North America;prior customer;Medium;1 Year;CRM;C-Level;Yes;Yes;Yes;No;14;253;44
LAN19647CORP;Landstar Corp Corp;Enterprise;Consumer Product;France;prior customer;Large;1 Year;Web Server;Manager Level;No;Yes;Yes;No;11;205;24
ALA49860CORP;ALAN FAITH Corp;Enterprise;Apparel;North America;prior customer;Medium;1 Year;Database;Manager Level;No;Yes;Yes;Yes;13;297;27
ALA89061CORP;ALAN GWARA Corp;Enterprise;Goods;Japan;prior customer;Huge;1 Year;Portal;Manager Level;Yes;No;Yes;No;17;57;34
ROG59607N CO;Roger Zahn Co;SMB;Goods;Brazil;current customer;Big;1 Year;CRM;C-Level;No;No;Yes;No;19;334;69
PET18896G CO;Peter King Co;SMB;Construction;Russia;prospect;Small;6 Months;Application Server;Individual Contributor Level;Yes;No;No;No;22;42;104
ERL73233G CO;ERL Freiburg Co;SMB;Goods;Brazil;prospect;Big;1 Month;Application Server;Individual Contributor Level;Yes;No;Yes;No;24;126;93
BEC95735T CO;Becker Stuttgart Co;SMB;Retail;Brazil;prospect;Large;1 Month;Database;C-Level;Yes;Yes;No;No;10;127;21
AIR41033S CO;Aircraft Products Co;Enterprise;Goods;China;prior customer;Big;1 Month;Web Server;C-Level;Yes;No;No;Yes;18;89;143
ETE56590N CO;Etelko Textilien Co;SMB;Manufacturing;Russia;prospect;Large;6 Months;Portal;Manager Level;Yes;No;Yes;Yes;30;51;127
MOT45903H CO;Motomarkt Heidelberg GmbH Co;Enterprise;Apparel;Japan;prior customer;Medium;6 Months;Database;Individual Contributor Level;Yes;No;No;No;26;77;13
INS13268Y CO;Insurance Company Co;SMB;Construction;Brazil;prospect;Medium;1 Month;Security;C-Level;Yes;No;Yes;Yes;3;96;47
ROG57737Y CO;Rogier Golf Resort YY Co;Enterprise;Goods;Italy;prior customer;Big;1 Month;Database;C-Level;No;Yes;No;No;8;247;10
LES70513Y CO;LES Sales Company Co;SMB;Manufacturing;Japan;prospect;Huge;1 Year;Security;Individual Contributor Level;Yes;Yes;No;No;19;148;38
KAR88215H CO;Karl Smith Co;SMB;Consumer Product;France;prior customer;Big;2 Years;Web Server;C-Level;Yes;Yes;Yes;No;18;120;18
WAL56821H CO;Walther Maschinenbau GmbH Co;Fortune500;Retail;Russia;prospect;Medium;18 Months;Portal;Individual Contributor Level;Yes;No;Yes;No;3;35;117
SUP89141T CO;Super-Mart Co;SMB;Consumer Product;North America;current customer;Big;6 Months;Application Server;C-Level;Yes;Yes;Yes;Yes;17;120;136
REM37560E CO;REMA Superstore Co;SMB;Retail;Japan;prospect;Big;6 Months;Application Server;C-Level;No;No;Yes;Yes;5;80;36
PRA90406T CO;Praxis Dr. Rot Co;Fortune500;Finserv;Japan;current customer;Huge;1 Year;Application Server;C-Level;No;No;Yes;No;45;243;158
MIL83084N CO;Milton & Milton Co;Enterprise;Healthcare;Japan;prospect;Medium;6 Months;Portal;Manager Level;No;Yes;Yes;No;16;125;117
VNE20190T CO;vNet Co;Enterprise;Apparel;UK;prior customer;Large;1 Year;Portal;Individual Contributor Level;Yes;Yes;No;No;11;292;43
ABI15728P CO;Abidon Corp Co;SMB;High tech;Italy;prospect;Large;1 Month;Security;Individual Contributor Level;Yes;No;Yes;No;28;84;52
JAN38506N CO;JANET ZUSSIN Co;Fortune500;High tech;Italy;current customer;Big;1 Year;Security;C-Level;No;Yes;No;Yes;28;391;42
JAM84197R CO;JAMES GRUPER Co;Enterprise;Finserv;China;current customer;Huge;1 Year;Analytics;Individual Contributor Level;No;No;No;No;27;56;32
KIM27569T CO;Kim Possible Inc. - East Co;SMB;Manufacturing;France;current customer;Large;6 Months;Web Server;Individual Contributor Level;Yes;No;Yes;No;18;86;23
STE72573N KG;Steve Martin KG;Enterprise;High tech;India;prospect;Large;1 Year;Web Server;Individual Contributor Level;No;No;Yes;Yes;7;276;63
OME25007T KG;Omega Soft-Hardware Markt KG;SMB;Finserv;Germany;prospect;Medium;1 Month;Database;C-Level;No;Yes;Yes;Yes;13;77;84
MIN81172H KG;Minerva Energieversorgung GmbH KG;Enterprise;Construction;North America;prior customer;Large;1 Month;Database;Manager Level;Yes;Yes;No;No;5;202;6
GEN43562C KG;General Distributors Inc KG;Enterprise;Construction;North America;prospect;Small;6 Months;Application Server;Individual Contributor Level;No;No;No;No;9;108;102
MAN72046. KG;Mansur Computers. Inc. KG;Fortune500;Manufacturing;India;current customer;Huge;1 Year;Database;C-Level;No;Yes;No;No;46;341;98
ALP18285H KG;Alpha-Systems GmbH KG;SMB;High tech;India;current customer;Small;6 Months;ERP;Individual Contributor Level;No;Yes;Yes;No;10;26;150
